seed,num_classes,combo_idx,class_list,subset_pct,num_samples,samples_per_class,epochs_trained,training_time,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,auroc_macro,auprc_macro,mcc,cohens_kappa,log_loss
14994796,4,0,"[0, 1, 2, 4]",80,19200,4800,14,12.0,0.9503,0.9503,0.9502,0.9502,0.9502,0.9503,0.9952,0.987,0.9337,0.9337,0.1385
14994796,4,0,"[0, 1, 2, 4]",90,21600,5400,15,14.57,0.9505,0.9505,0.9505,0.9505,0.9505,0.9505,0.9952,0.987,0.934,0.934,0.1316
14994796,4,0,"[0, 1, 2, 4]",100,24000,6000,18,19.22,0.9513,0.9512,0.9514,0.9514,0.9515,0.9512,0.9958,0.9885,0.935,0.935,0.1316
14994796,4,1,"[1, 4, 5, 8]",10,2400,600,29,3.12,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9997,0.9991,0.986,0.986,0.0477
14994796,4,1,"[1, 4, 5, 8]",20,4800,1200,13,3.36,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9995,0.9988,0.986,0.986,0.0432
14994796,4,1,"[1, 4, 5, 8]",30,7200,1800,14,4.42,0.991,0.991,0.991,0.991,0.991,0.991,0.9996,0.999,0.988,0.988,0.036
14994796,4,1,"[1, 4, 5, 8]",40,9600,2400,16,6.63,0.9922,0.9923,0.9923,0.9923,0.9923,0.9923,0.9998,0.9996,0.9897,0.9897,0.0275
14994796,4,1,"[1, 4, 5, 8]",50,12000,3000,18,9.31,0.9912,0.9912,0.9912,0.9912,0.9913,0.9912,0.9999,0.9996,0.9883,0.9883,0.0312
14994796,4,1,"[1, 4, 5, 8]",60,14400,3600,24,15.48,0.994,0.994,0.994,0.994,0.994,0.994,0.9999,0.9998,0.992,0.992,0.0221
14994796,4,1,"[1, 4, 5, 8]",70,16800,4200,31,22.48,0.9948,0.9948,0.9947,0.9947,0.9948,0.9948,0.9999,0.9998,0.993,0.993,0.0231
14994796,4,1,"[1, 4, 5, 8]",80,19200,4800,19,15.91,0.9942,0.9943,0.9942,0.9942,0.9943,0.9943,0.9999,0.9998,0.9923,0.9923,0.0182
14994796,4,1,"[1, 4, 5, 8]",90,21600,5400,14,13.23,0.9922,0.9922,0.9922,0.9922,0.9923,0.9922,0.9999,0.9997,0.9897,0.9897,0.0244
14994796,4,1,"[1, 4, 5, 8]",100,24000,6000,16,16.61,0.9928,0.9928,0.9928,0.9928,0.9928,0.9928,0.9999,0.9998,0.9903,0.9903,0.0217
14994796,4,2,"[1, 4, 5, 9]",10,2400,600,17,1.82,0.9915,0.9915,0.9915,0.9915,0.9915,0.9915,0.9998,0.9995,0.9887,0.9887,0.0284
14994796,4,2,"[1, 4, 5, 9]",20,4800,1200,13,2.64,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9998,0.9993,0.986,0.986,0.0282
14994796,4,2,"[1, 4, 5, 9]",30,7200,1800,19,5.96,0.9962,0.9962,0.9963,0.9963,0.9963,0.9962,0.9999,0.9997,0.995,0.995,0.0188
14994796,4,2,"[1, 4, 5, 9]",40,9600,2400,16,6.43,0.992,0.992,0.992,0.992,0.9921,0.992,0.9999,0.9998,0.9894,0.9893,0.0286
14994796,4,2,"[1, 4, 5, 9]",50,12000,3000,34,17.39,0.9952,0.9952,0.9952,0.9952,0.9953,0.9952,0.9999,0.9995,0.9937,0.9937,0.0215
14994796,4,2,"[1, 4, 5, 9]",60,14400,3600,21,13.03,0.9925,0.9925,0.9925,0.9925,0.9926,0.9925,0.9998,0.9993,0.99,0.99,0.0296
14994796,4,2,"[1, 4, 5, 9]",70,16800,4200,25,18.39,0.995,0.995,0.995,0.995,0.995,0.995,0.9999,0.9997,0.9933,0.9933,0.0216
14994796,4,2,"[1, 4, 5, 9]",80,19200,4800,22,18.82,0.9952,0.9953,0.9952,0.9952,0.9953,0.9953,0.9998,0.9994,0.9937,0.9937,0.023
14994796,4,2,"[1, 4, 5, 9]",90,21600,5400,29,27.45,0.994,0.994,0.994,0.994,0.994,0.994,0.9999,0.9998,0.992,0.992,0.0256
14994796,4,2,"[1, 4, 5, 9]",100,24000,6000,16,16.41,0.9942,0.9943,0.9942,0.9942,0.9943,0.9943,0.9999,0.9997,0.9923,0.9923,0.0217
14994796,4,3,"[1, 5, 6, 9]",10,2400,600,21,2.25,0.9875,0.9875,0.9875,0.9875,0.9876,0.9875,0.9997,0.9992,0.9834,0.9833,0.0464
14994796,4,3,"[1, 5, 6, 9]",20,4800,1200,15,3.12,0.9912,0.9913,0.9913,0.9913,0.9913,0.9913,0.9998,0.9995,0.9884,0.9883,0.0304
